Work_ID,State,District,Work_Type,Sanction_Amount,Estimated_Cost,Expenditure,Progress_Percentage,Delay_Days,Implementing_Agency,Status,Latitude,Longitude,Anomaly,Anomaly_Status,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
MPLADS_0001,Tamil Nadu,District_13,Drainage,875963,2708492,702289,66,19,Agency_9,Completed,8.569982,76.842008,1,Normal,0.0302574305703107,15,LOW,High expenditure
MPLADS_0002,Maharashtra,District_13,Community Hall,626515,4695289,3547498,61,420,Agency_3,In Progress,17.198725,73.933655,1,Normal,0.0406461946971863,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0003,Karnataka,District_2,School,2412460,2193184,1806218,38,130,Agency_19,In Progress,12.805969,75.311438,1,Normal,0.1042387111322487,35,MEDIUM,"Project delay, Low progress with high expenditure"
MPLADS_0004,Maharashtra,District_9,Road,4337382,554910,3694032,36,328,Agency_9,In Progress,16.726928,80.043153,1,Normal,0.067909965553792,70,HIGH,"High expenditure, Severe project delay, Low progress with high expenditure, High sanctioned amount"
MPLADS_0005,Maharashtra,District_24,Drinking Water,2100053,3491558,2394318,85,121,Agency_10,In Progress,16.121519,76.953445,1,Normal,0.0889809058052653,45,MEDIUM,"Expenditure exceeds sanctioned amount, Project delay"
MPLADS_0006,Telangana,District_8,Hospital,809401,673090,562226,7,40,Agency_19,Completed,17.482627,80.933039,1,Normal,0.0064936065183968,0,LOW,No major risk detected
MPLADS_0007,Karnataka,District_7,Drainage,2035681,2079341,270710,80,166,Agency_16,Completed,12.284272,75.830136,1,Normal,0.0571134488583269,15,LOW,Project delay
MPLADS_0008,Karnataka,District_4,Road,2611913,3067465,1290896,51,409,Agency_18,Delayed,18.286293,77.981333,1,Normal,0.0906174438045009,25,LOW,Severe project delay
MPLADS_0009,Karnataka,District_18,Drainage,1869231,2576915,2050403,90,129,Agency_14,Completed,17.219504,75.186353,1,Normal,0.0907163408939026,45,MEDIUM,"Expenditure exceeds sanctioned amount, Project delay"
MPLADS_0010,Maharashtra,District_3,Road,4117784,2452114,3813074,32,22,Agency_3,Completed,16.710769,78.149739,1,Normal,0.0342390288171767,45,MEDIUM,"High expenditure, Low progress with high expenditure, High sanctioned amount"
MPLADS_0011,Tamil Nadu,District_28,Community Hall,3385379,3529799,4156226,80,278,Agency_2,Delayed,13.204506,78.538404,1,Normal,0.083986854522832,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0012,Karnataka,District_6,Community Hall,1599317,1819617,948193,41,250,Agency_1,Completed,15.501289,75.287904,1,Normal,0.0918849824903464,25,LOW,Severe project delay
MPLADS_0013,Kerala,District_12,Community Hall,4312511,2488761,1415419,75,468,Agency_18,In Progress,11.739667,75.286314,1,Normal,0.0468737252532968,35,MEDIUM,"Severe project delay, High sanctioned amount"
MPLADS_0014,Maharashtra,District_12,Drainage,938698,2898039,3872012,26,399,Agency_9,Not Started,17.703915,76.131122,1,Normal,0.0695364134850969,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0015,Telangana,District_21,Drinking Water,3536142,687509,1553103,7,8,Agency_13,Not Started,17.881203,78.121157,1,Normal,0.0243088041165779,0,LOW,No major risk detected
MPLADS_0016,Tamil Nadu,District_28,Community Hall,2258578,2446629,3517145,22,12,Agency_2,Delayed,8.643086,78.764604,1,Normal,0.0601503637916652,50,MEDIUM,"Expenditure exceeds sanctioned amount, Low progress with high expenditure"
MPLADS_0017,Kerala,District_8,Road,1609657,930432,1788244,63,411,Agency_7,Completed,9.527701,76.311219,1,Normal,0.0904676466743252,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0018,Kerala,District_22,Community Hall,2281946,516995,3912216,92,410,Agency_16,Completed,8.910068,76.050964,1,Normal,0.0390681231523264,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0019,Telangana,District_22,School,3930323,4872778,4792337,19,306,Agency_19,Delayed,17.983617,77.396929,1,Normal,0.0139764628554781,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0020,Tamil Nadu,District_1,Community Hall,595726,4934299,3151537,15,319,Agency_15,Not Started,9.884984,76.764542,1,Normal,0.0368814841148046,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0021,Maharashtra,District_4,Drainage,2730259,3989625,1190859,16,51,Agency_11,In Progress,16.011937,80.81667,1,Normal,0.055026679406871,0,LOW,No major risk detected
MPLADS_0022,Andhra Pradesh,District_21,Drinking Water,492244,1679618,4597749,79,208,Agency_1,Completed,14.727535,83.259983,1,Normal,0.0474116649849716,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0023,Tamil Nadu,District_28,School,540999,3424775,3536844,18,37,Agency_7,Delayed,9.425988,79.062311,1,Normal,0.0301663545675938,50,MEDIUM,"Expenditure exceeds sanctioned amount, Low progress with high expenditure"
MPLADS_0024,Telangana,District_11,Drainage,3239189,2240002,1990425,7,99,Agency_8,In Progress,18.916934,79.463427,1,Normal,0.0709084810867901,15,LOW,Project delay
MPLADS_0025,Kerala,District_3,Drainage,4862066,3043349,4760411,37,192,Agency_10,Delayed,10.36925,75.870786,1,Normal,0.0238904732659384,70,HIGH,"High expenditure, Severe project delay, Low progress with high expenditure, High sanctioned amount"
MPLADS_0026,Maharashtra,District_13,Drainage,457407,1292522,1471742,37,401,Agency_5,Delayed,17.867644,80.315092,1,Normal,0.0571673812127363,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0027,Tamil Nadu,District_25,Road,921158,2618101,2951616,52,190,Agency_9,Delayed,12.651469,80.253113,1,Normal,0.1047218066355962,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0028,Andhra Pradesh,District_17,Drainage,1353306,1016325,2484370,92,50,Agency_1,Not Started,13.420362,82.620027,1,Normal,0.0495802330323669,30,LOW,Expenditure exceeds sanctioned amount
MPLADS_0029,Andhra Pradesh,District_22,Road,470602,4047936,2088937,99,392,Agency_2,Not Started,18.793047,78.167988,1,Normal,0.00069088892175,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0030,Karnataka,District_22,Drainage,3882809,1347776,3751372,89,140,Agency_19,Delayed,11.965474,77.409155,1,Normal,0.0666029277828375,30,LOW,"High expenditure, Project delay"
MPLADS_0031,Karnataka,District_10,Hospital,1677650,4969831,537340,30,167,Agency_14,Completed,15.521312,77.872412,1,Normal,0.0350190734013643,15,LOW,Project delay
MPLADS_0032,Telangana,District_21,School,106635,2091215,1365097,43,310,Agency_10,In Progress,16.373067,80.222016,1,Normal,0.0490822171134246,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0033,Tamil Nadu,District_12,Hospital,2912349,1857317,2065397,59,108,Agency_9,Completed,9.129113,76.887355,1,Normal,0.1063012876435066,15,LOW,Project delay
MPLADS_0034,Tamil Nadu,District_15,Drainage,2393136,3752590,1257486,75,206,Agency_10,Not Started,8.919888,79.621214,1,Normal,0.091964471645732,25,LOW,Severe project delay
MPLADS_0035,Kerala,District_21,School,4472888,3822088,2437115,16,426,Agency_6,In Progress,11.259907,76.15997,1,Normal,0.0539778360321829,35,MEDIUM,"Severe project delay, High sanctioned amount"
MPLADS_0036,Kerala,District_10,School,3614360,1533702,1958697,78,299,Agency_17,Delayed,9.85062,77.080721,1,Normal,0.0973148611894994,25,LOW,Severe project delay
MPLADS_0037,Kerala,District_14,Drinking Water,1770444,4978476,1089037,72,109,Agency_6,Completed,10.005247,76.923159,1,Normal,0.0437276412699341,15,LOW,Project delay
MPLADS_0038,Karnataka,District_13,Hospital,135166,3936613,3962910,38,195,Agency_4,Completed,14.573944,75.733944,1,Normal,0.0392294255032693,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0039,Tamil Nadu,District_5,Drinking Water,2523006,4060442,4161951,41,416,Agency_3,Delayed,10.591007,77.465787,1,Normal,0.0773211370634289,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0040,Tamil Nadu,District_6,School,3493571,4354083,3165200,47,151,Agency_19,Completed,12.186613,78.311426,1,Normal,0.0885337175980068,30,LOW,"High expenditure, Project delay"
MPLADS_0041,Andhra Pradesh,District_24,Road,4028966,3354860,865695,11,419,Agency_18,Not Started,14.132604,83.986554,1,Normal,0.0459861136859548,35,MEDIUM,"Severe project delay, High sanctioned amount"
MPLADS_0042,Karnataka,District_2,School,3914856,4696386,122036,95,242,Agency_4,Delayed,14.187239,76.500343,-1,Anomaly,-0.0057974381149289,45,MEDIUM,"Severe project delay, AI detected unusual pattern"
MPLADS_0043,Maharashtra,District_22,Drinking Water,347883,384248,4392978,88,127,Agency_8,Completed,21.492069,77.781175,1,Normal,0.0066587946876298,45,MEDIUM,"Expenditure exceeds sanctioned amount, Project delay"
MPLADS_0044,Karnataka,District_17,Hospital,4407356,711440,2394819,17,104,Agency_17,Delayed,12.318286,78.323228,1,Normal,0.0639818691028326,25,LOW,"Project delay, High sanctioned amount"
MPLADS_0045,Maharashtra,District_4,Drainage,4202567,1243502,3841854,78,9,Agency_5,In Progress,19.680102,75.379717,1,Normal,0.02532473897628,25,LOW,"High expenditure, High sanctioned amount"
MPLADS_0046,Andhra Pradesh,District_14,Drainage,806079,3379782,899694,95,355,Agency_13,Delayed,13.519196,83.131604,1,Normal,0.0292348732607404,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0047,Telangana,District_10,Hospital,3683646,804981,600348,5,147,Agency_1,Completed,18.342298,79.227152,1,Normal,0.0277376452335186,15,LOW,Project delay
MPLADS_0048,Tamil Nadu,District_3,Drainage,1493401,431325,2770911,42,488,Agency_13,Not Started,13.005798,79.512108,1,Normal,0.0484421488685817,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0049,Andhra Pradesh,District_25,Drainage,665416,863526,1381446,34,364,Agency_4,Delayed,13.601054,79.224949,1,Normal,0.0567444169548874,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
