work_id,mp_name,work,category,state,constituency,district,city,ward,block,village,recommended_date,allocation_amount,ida_approval,status,house
MPLADS-000001,Demo MP 1,Demo MPLADS work 1 - Road Development,Road Development,ANDHRA PRADESH,Guntur,,Demo City 1,Ward 1,Block 1,Demo Village 1,15-01-2024,450000,PENDING,COMPLETED,RAJYA SABHA
MPLADS-000002,Demo MP 2,Demo MPLADS work 2 - Drinking Water,Drinking Water,TELANGANA,Warangal,,Demo City 2,Ward 2,Block 2,Demo Village 2,Tue Jul 02 2024 00:00:00 GMT+0530 (India Standard Time),750000,YES,PENDING,LOK SABHA
MPLADS-000003,Demo MP 3,Demo MPLADS work 3 - School Infrastructure,School Infrastructure,KARNATAKA,Bengaluru Rural,,Demo City 3,Ward 3,Block 3,Demo Village 3,Wed Jan 03 2024 00:00:00 GMT+0530 (India Standard Time),1200000,YES,UNDER IMPLEMENTATION,LOK SABHA
MPLADS-000004,Demo MP 4,Demo MPLADS work 4 - Health Infrastructure,Health Infrastructure,TAMIL NADU,Madurai,,Demo City 4,Ward 4,Block 4,Demo Village 4,24-03-2024,1800000,YES,ONGOING,RAJYA SABHA
MPLADS-000005,Demo MP 5,Demo MPLADS work 5 - Street Lighting,Street Lighting,RAJASTHAN,Jaipur Rural,,Demo City 5,Ward 5,Block 5,Demo Village 5,16-04-2024,2500000,PENDING,APPROVED,LOK SABHA
MPLADS-000006,Demo MP 6,Demo MPLADS work 6 - Community Hall,Community Hall,UTTAR PRADESH,Lucknow,,Demo City 6,Ward 6,Block 6,Demo Village 6,Thu Sep 05 2024 00:00:00 GMT+0530 (India Standard Time),3200000,YES,COMPLETED,LOK SABHA
MPLADS-000007,Demo MP 7,Demo MPLADS work 7 - Drainage,Drainage,BIHAR,Patna,,Demo City 7,Ward 7,Block 7,Demo Village 7,Sat Jan 06 2024 00:00:00 GMT+0530 (India Standard Time),450000,YES,PENDING,RAJYA SABHA
MPLADS-000008,Demo MP 8,Demo MPLADS work 8 - Public Sanitation,Public Sanitation,MAHARASHTRA,Pune,,Demo City 8,Ward 8,Block 8,Demo Village 8,24-06-2024,750000,YES,UNDER IMPLEMENTATION,LOK SABHA
MPLADS-000009,Demo MP 9,Demo MPLADS work 9 - Road Development,Road Development,WEST BENGAL,Kolkata,,Demo City 1,Ward 9,Block 9,Demo Village 9,17-07-2024,1200000,PENDING,ONGOING,LOK SABHA
MPLADS-000010,Demo MP 10,Demo MPLADS work 10 - Drinking Water,Drinking Water,ODISHA,Bhubaneswar,,Demo City 2,Ward 10,Block 10,Demo Village 10,Sun Sep 08 2024 00:00:00 GMT+0530 (India Standard Time),1800000,YES,APPROVED,RAJYA SABHA
MPLADS-000011,Demo MP 11,Demo MPLADS work 11 - School Infrastructure,School Infrastructure,ANDHRA PRADESH,Guntur,,Demo City 3,Ward 11,Block 11,Demo Village 11,Tue Jan 09 2024 00:00:00 GMT+0530 (India Standard Time),2500000,YES,COMPLETED,LOK SABHA
MPLADS-000012,Demo MP 12,Demo MPLADS work 12 - Health Infrastructure,Health Infrastructure,TELANGANA,Warangal,,Demo City 4,Ward 12,Block 12,Demo Village 12,24-09-2024,3200000,YES,PENDING,LOK SABHA
MPLADS-000013,Demo MP 13,Demo MPLADS work 13 - Street Lighting,Street Lighting,KARNATAKA,Bengaluru Rural,,Demo City 5,Ward 13,Block 1,Demo Village 13,17-10-2024,450000,PENDING,UNDER IMPLEMENTATION,RAJYA SABHA
MPLADS-000014,Demo MP 14,Demo MPLADS work 14 - Community Hall,Community Hall,TAMIL NADU,Madurai,,Demo City 6,Ward 14,Block 2,Demo Village 14,Wed Sep 11 2024 00:00:00 GMT+0530 (India Standard Time),750000,YES,ONGOING,LOK SABHA
MPLADS-000015,Demo MP 15,Demo MPLADS work 15 - Drainage,Drainage,RAJASTHAN,Jaipur Rural,,Demo City 7,Ward 15,Block 3,Demo Village 15,Mon Feb 12 2024 00:00:00 GMT+0530 (India Standard Time),1200000,YES,APPROVED,LOK SABHA
MPLADS-000016,Demo MP 16,Demo MPLADS work 16 - Public Sanitation,Public Sanitation,UTTAR PRADESH,Lucknow,,Demo City 8,Ward 16,Block 4,Demo Village 1,25-12-2024,1800000,YES,COMPLETED,RAJYA SABHA
MPLADS-000017,Demo MP 17,Demo MPLADS work 17 - Road Development,Road Development,BIHAR,Patna,,Demo City 1,Ward 17,Block 5,Demo Village 2,17-01-2025,2500000,PENDING,PENDING,LOK SABHA
MPLADS-000018,Demo MP 18,Demo MPLADS work 18 - Drinking Water,Drinking Water,MAHARASHTRA,Pune,,Demo City 2,Ward 18,Block 6,Demo Village 3,Tue Sep 02 2025 00:00:00 GMT+0530 (India Standard Time),3200000,YES,UNDER IMPLEMENTATION,LOK SABHA
MPLADS-000019,Demo MP 19,Demo MPLADS work 19 - School Infrastructure,School Infrastructure,WEST BENGAL,Kolkata,,Demo City 3,Ward 19,Block 7,Demo Village 4,Thu Apr 03 2025 00:00:00 GMT+0530 (India Standard Time),450000,YES,ONGOING,RAJYA SABHA
MPLADS-000020,Demo MP 20,Demo MPLADS work 20 - Health Infrastructure,Health Infrastructure,ODISHA,Bhubaneswar,,Demo City 4,Ward 20,Block 8,Demo Village 5,27-03-2025,750000,YES,APPROVED,LOK SABHA
MPLADS-000021,Demo MP 21,Demo MPLADS work 21 - Street Lighting,Street Lighting,ANDHRA PRADESH,Guntur,,Demo City 5,Ward 1,Block 9,Demo Village 6,19-04-2025,1200000,PENDING,COMPLETED,LOK SABHA
MPLADS-000022,Demo MP 22,Demo MPLADS work 22 - Community Hall,Community Hall,TELANGANA,Warangal,,Demo City 6,Ward 2,Block 10,Demo Village 7,Fri Dec 05 2025 00:00:00 GMT+0530 (India Standard Time),1800000,YES,PENDING,RAJYA SABHA
MPLADS-000023,Demo MP 23,Demo MPLADS work 23 - Drainage,Drainage,KARNATAKA,Bengaluru Rural,,Demo City 7,Ward 3,Block 11,Demo Village 8,Sun Apr 06 2025 00:00:00 GMT+0530 (India Standard Time),2500000,YES,UNDER IMPLEMENTATION,LOK SABHA
MPLADS-000024,Demo MP 24,Demo MPLADS work 24 - Public Sanitation,Public Sanitation,TAMIL NADU,Madurai,,Demo City 8,Ward 4,Block 12,Demo Village 9,27-06-2025,3200000,YES,ONGOING,LOK SABHA
MPLADS-000025,Demo MP 25,Demo MPLADS work 25 - Road Development,Road Development,RAJASTHAN,Jaipur Rural,,Demo City 1,Ward 5,Block 1,Demo Village 10,20-07-2025,450000,PENDING,APPROVED,RAJYA SABHA
MPLADS-000026,Demo MP 26,Demo MPLADS work 26 - Drinking Water,Drinking Water,UTTAR PRADESH,Lucknow,,Demo City 2,Ward 6,Block 2,Demo Village 11,Mon Dec 08 2025 00:00:00 GMT+0530 (India Standard Time),750000,YES,COMPLETED,LOK SABHA
MPLADS-000027,Demo MP 27,Demo MPLADS work 27 - School Infrastructure,School Infrastructure,BIHAR,Patna,,Demo City 3,Ward 7,Block 3,Demo Village 12,Wed Apr 09 2025 00:00:00 GMT+0530 (India Standard Time),1200000,YES,PENDING,LOK SABHA
MPLADS-000028,Demo MP 28,Demo MPLADS work 28 - Health Infrastructure,Health Infrastructure,MAHARASHTRA,Pune,,Demo City 4,Ward 8,Block 4,Demo Village 13,27-09-2025,1800000,YES,UNDER IMPLEMENTATION,RAJYA SABHA
MPLADS-000029,Demo MP 29,Demo MPLADS work 29 - Street Lighting,Street Lighting,WEST BENGAL,Kolkata,,Demo City 5,Ward 9,Block 5,Demo Village 14,20-10-2025,2500000,PENDING,ONGOING,LOK SABHA
MPLADS-000030,Demo MP 30,Demo MPLADS work 30 - Community Hall,Community Hall,ODISHA,Bhubaneswar,,Demo City 6,Ward 10,Block 6,Demo Village 15,Thu Dec 11 2025 00:00:00 GMT+0530 (India Standard Time),3200000,YES,APPROVED,LOK SABHA
MPLADS-000031,Demo MP 31,Demo MPLADS work 31 - Drainage,Drainage,ANDHRA PRADESH,Guntur,,Demo City 7,Ward 11,Block 7,Demo Village 1,Mon May 12 2025 00:00:00 GMT+0530 (India Standard Time),450000,YES,COMPLETED,RAJYA SABHA
MPLADS-000032,Demo MP 32,Demo MPLADS work 32 - Public Sanitation,Public Sanitation,TELANGANA,Warangal,,Demo City 8,Ward 12,Block 8,Demo Village 2,28-12-2025,750000,YES,PENDING,LOK SABHA
MPLADS-000033,Demo MP 33,Demo MPLADS work 33 - Road Development,Road Development,KARNATAKA,Bengaluru Rural,,Demo City 1,Ward 13,Block 9,Demo Village 3,20-01-2026,1200000,PENDING,UNDER IMPLEMENTATION,LOK SABHA
