work_id,state,district,work_description,work_type,sanction_amount,estimated_cost,expenditure,progress_percentage,status,anomaly,anomaly_status,anomaly_risk_score,risk_score,risk_level,risk_reasons,expenditure_ratio,progress_expenditure_gap,delay_flag,Work_ID,State,District,Work_Description,Work_Type,Sanction_Amount,Estimated_Cost,Expenditure,Progress_Percentage,Status,Anomaly,Anomaly_Status,Anomaly_Risk_Score,Risk_Score,Risk_Level,Risk_Reasons,Expenditure_Ratio,Progress_Expenditure_Gap,Delay_Flag
P101,Andhra Pradesh,Guntur,Construction of drinking water facility,Water Supply,450000,470000,420000,90,Completed,0,Normal,0,0,LOW,No significant risk signal detected,0.9333,3.33,0,P101,Andhra Pradesh,Guntur,Construction of drinking water facility,Water Supply,450000,470000,420000,90,Completed,0,Normal,0,0,LOW,No significant risk signal detected,0.9333,3.33,0
P102,Andhra Pradesh,Krishna,Installation of LED street lights,Street Lighting,320000,330000,310000,95,Completed,0,Normal,0,0,LOW,No significant risk signal detected,0.9688,1.88,0,P102,Andhra Pradesh,Krishna,Installation of LED street lights,Street Lighting,320000,330000,310000,95,Completed,0,Normal,0,0,LOW,No significant risk signal detected,0.9688,1.88,0
P103,Telangana,Hyderabad,Renovation of government school,Education,1200000,1250000,500000,40,In Progress,0,Normal,0,0,LOW,No significant risk signal detected,0.4167,1.67,0,P103,Telangana,Hyderabad,Renovation of government school,Education,1200000,1250000,500000,40,In Progress,0,Normal,0,0,LOW,No significant risk signal detected,0.4167,1.67,0
P104,Karnataka,Bengaluru Rural,Construction of community hall,Community Infrastructure,950000,1000000,0,0,Not Started,0,Normal,0,0,LOW,No significant risk signal detected,0,0,0,P104,Karnataka,Bengaluru Rural,Construction of community hall,Community Infrastructure,950000,1000000,0,0,Not Started,0,Normal,0,0,LOW,No significant risk signal detected,0,0,0
P105,Tamil Nadu,Madurai,Drainage improvement work,Drainage,700000,680000,640000,95,In Progress,0,Normal,0,0,LOW,No significant risk signal detected,0.9143,-3.57,0,P105,Tamil Nadu,Madurai,Drainage improvement work,Drainage,700000,680000,640000,95,In Progress,0,Normal,0,0,LOW,No significant risk signal detected,0.9143,-3.57,0
P106,Rajasthan,Karauli-Dholpur,Village footpath construction,Roads,500000,520000,150000,25,Delayed,0,Normal,0,20,LOW,Project is delayed,0.3,5,1,P106,Rajasthan,Karauli-Dholpur,Village footpath construction,Roads,500000,520000,150000,25,Delayed,0,Normal,0,20,LOW,Project is delayed,0.3,5,1
P107,Bihar,Darbhanga,Solar street light installation,Energy,600000,580000,120000,20,Delayed,0,Normal,0,20,LOW,Project is delayed,0.2,0,1,P107,Bihar,Darbhanga,Solar street light installation,Energy,600000,580000,120000,20,Delayed,0,Normal,0,20,LOW,Project is delayed,0.2,0,1
P108,Odisha,Cuttack,Construction of public toilet,Sanitation,350000,360000,330000,92,In Progress,0,Normal,0,0,LOW,No significant risk signal detected,0.9429,2.29,0,P108,Odisha,Cuttack,Construction of public toilet,Sanitation,350000,360000,330000,92,In Progress,0,Normal,0,0,LOW,No significant risk signal detected,0.9429,2.29,0
P109,Uttar Pradesh,Lucknow,Community building construction,Community Infrastructure,780000,800000,760000,96,In Progress,0,Normal,0,0,LOW,No significant risk signal detected,0.9744,1.44,0,P109,Uttar Pradesh,Lucknow,Community building construction,Community Infrastructure,780000,800000,760000,96,In Progress,0,Normal,0,0,LOW,No significant risk signal detected,0.9744,1.44,0
P110,West Bengal,Kolkata,Road and drainage development,Roads,1500000,1450000,100000,10,Delayed,0,Normal,0,20,LOW,Project is delayed,0.0667,-3.33,1,P110,West Bengal,Kolkata,Road and drainage development,Roads,1500000,1450000,100000,10,Delayed,0,Normal,0,20,LOW,Project is delayed,0.0667,-3.33,1
