work_id,mp_name,work,category,state,constituency,district,city,ward,block,village,recommended_date,allocation_amount,ida_approval,status,house,days_since_recommendation,approval_pending,unsanctioned,state_work_count,constituency_work_count,category_work_count,allocation_amount_ratio,allocation_amount_log,work_description_length,location_completeness,approval_status_risk,old_pending_signal
MPLADS-000001,Demo MP 1,Demo MPLADS work 1 - Road Development,Road Development,ANDHRA PRADESH,Guntur,,Demo City 1,Ward 1,Block 1,Demo Village 1,2024-01-15,450000,PENDING,COMPLETED,RAJYA SABHA,968.0,1,0,4,4,5,0.375,13.017005083966255,37,4,1,1
MPLADS-000002,Demo MP 2,Demo MPLADS work 2 - Drinking Water,Drinking Water,TELANGANA,Warangal,,Demo City 2,Ward 2,Block 2,Demo Village 2,,750000,YES,PENDING,LOK SABHA,0.0,0,0,4,4,5,0.625,13.527829818844937,35,4,0,0
MPLADS-000003,Demo MP 3,Demo MPLADS work 3 - School Infrastructure,School Infrastructure,KARNATAKA,Bengaluru Rural,,Demo City 3,Ward 3,Block 3,Demo Village 3,,1200000,YES,UNDER IMPLEMENTATION,LOK SABHA,0.0,0,0,4,4,5,1.0,13.997832948091215,42,4,0,0
MPLADS-000004,Demo MP 4,Demo MPLADS work 4 - Health Infrastructure,Health Infrastructure,TAMIL NADU,Madurai,,Demo City 4,Ward 4,Block 4,Demo Village 4,2024-03-24,1800000,YES,ONGOING,RAJYA SABHA,899.0,0,0,4,4,5,1.5,14.403297778421795,42,4,0,0
MPLADS-000005,Demo MP 5,Demo MPLADS work 5 - Street Lighting,Street Lighting,RAJASTHAN,Jaipur Rural,,Demo City 5,Ward 5,Block 5,Demo Village 5,2024-04-16,2500000,PENDING,APPROVED,LOK SABHA,876.0,1,0,4,4,5,2.0833333333333335,14.731801689838349,36,4,1,1
MPLADS-000006,Demo MP 6,Demo MPLADS work 6 - Community Hall,Community Hall,UTTAR PRADESH,Lucknow,,Demo City 6,Ward 6,Block 6,Demo Village 6,,3200000,YES,COMPLETED,LOK SABHA,0.0,0,0,4,4,5,2.6666666666666665,14.978661680269907,35,4,0,0
MPLADS-000007,Demo MP 7,Demo MPLADS work 7 - Drainage,Drainage,BIHAR,Patna,,Demo City 7,Ward 7,Block 7,Demo Village 7,,450000,YES,PENDING,RAJYA SABHA,0.0,0,0,4,4,5,0.375,13.017005083966255,29,4,0,0
MPLADS-000008,Demo MP 8,Demo MPLADS work 8 - Public Sanitation,Public Sanitation,MAHARASHTRA,Pune,,Demo City 8,Ward 8,Block 8,Demo Village 8,2024-06-24,750000,YES,UNDER IMPLEMENTATION,LOK SABHA,807.0,0,0,4,4,5,0.625,13.527829818844937,38,4,0,0
MPLADS-000009,Demo MP 9,Demo MPLADS work 9 - Road Development,Road Development,WEST BENGAL,Kolkata,,Demo City 1,Ward 9,Block 9,Demo Village 9,2024-07-17,1200000,PENDING,ONGOING,LOK SABHA,784.0,1,0,4,4,5,1.0,13.997832948091215,37,4,1,1
MPLADS-000010,Demo MP 10,Demo MPLADS work 10 - Drinking Water,Drinking Water,ODISHA,Bhubaneswar,,Demo City 2,Ward 10,Block 10,Demo Village 10,,1800000,YES,APPROVED,RAJYA SABHA,0.0,0,0,4,4,5,1.5,14.403297778421795,36,4,0,0
MPLADS-000011,Demo MP 11,Demo MPLADS work 11 - School Infrastructure,School Infrastructure,ANDHRA PRADESH,Guntur,,Demo City 3,Ward 11,Block 11,Demo Village 11,,2500000,YES,COMPLETED,LOK SABHA,0.0,0,0,4,4,5,2.0833333333333335,14.731801689838349,43,4,0,0
MPLADS-000012,Demo MP 12,Demo MPLADS work 12 - Health Infrastructure,Health Infrastructure,TELANGANA,Warangal,,Demo City 4,Ward 12,Block 12,Demo Village 12,2024-09-24,3200000,YES,PENDING,LOK SABHA,715.0,0,0,4,4,5,2.6666666666666665,14.978661680269907,43,4,0,0
MPLADS-000013,Demo MP 13,Demo MPLADS work 13 - Street Lighting,Street Lighting,KARNATAKA,Bengaluru Rural,,Demo City 5,Ward 13,Block 1,Demo Village 13,2024-10-17,450000,PENDING,UNDER IMPLEMENTATION,RAJYA SABHA,692.0,1,0,4,4,5,0.375,13.017005083966255,37,4,1,1
MPLADS-000014,Demo MP 14,Demo MPLADS work 14 - Community Hall,Community Hall,TAMIL NADU,Madurai,,Demo City 6,Ward 14,Block 2,Demo Village 14,,750000,YES,ONGOING,LOK SABHA,0.0,0,0,4,4,5,0.625,13.527829818844937,36,4,0,0
MPLADS-000015,Demo MP 15,Demo MPLADS work 15 - Drainage,Drainage,RAJASTHAN,Jaipur Rural,,Demo City 7,Ward 15,Block 3,Demo Village 15,,1200000,YES,APPROVED,LOK SABHA,0.0,0,0,4,4,5,1.0,13.997832948091215,30,4,0,0
MPLADS-000016,Demo MP 16,Demo MPLADS work 16 - Public Sanitation,Public Sanitation,UTTAR PRADESH,Lucknow,,Demo City 8,Ward 16,Block 4,Demo Village 1,2024-12-25,1800000,YES,COMPLETED,RAJYA SABHA,623.0,0,0,4,4,5,1.5,14.403297778421795,39,4,0,0
MPLADS-000017,Demo MP 17,Demo MPLADS work 17 - Road Development,Road Development,BIHAR,Patna,,Demo City 1,Ward 17,Block 5,Demo Village 2,2025-01-17,2500000,PENDING,PENDING,LOK SABHA,600.0,1,0,4,4,5,2.0833333333333335,14.731801689838349,38,4,1,1
MPLADS-000018,Demo MP 18,Demo MPLADS work 18 - Drinking Water,Drinking Water,MAHARASHTRA,Pune,,Demo City 2,Ward 18,Block 6,Demo Village 3,,3200000,YES,UNDER IMPLEMENTATION,LOK SABHA,0.0,0,0,4,4,5,2.6666666666666665,14.978661680269907,36,4,0,0
MPLADS-000019,Demo MP 19,Demo MPLADS work 19 - School Infrastructure,School Infrastructure,WEST BENGAL,Kolkata,,Demo City 3,Ward 19,Block 7,Demo Village 4,,450000,YES,ONGOING,RAJYA SABHA,0.0,0,0,4,4,5,0.375,13.017005083966255,43,4,0,0
MPLADS-000020,Demo MP 20,Demo MPLADS work 20 - Health Infrastructure,Health Infrastructure,ODISHA,Bhubaneswar,,Demo City 4,Ward 20,Block 8,Demo Village 5,2025-03-27,750000,YES,APPROVED,LOK SABHA,531.0,0,0,4,4,5,0.625,13.527829818844937,43,4,0,0
MPLADS-000021,Demo MP 21,Demo MPLADS work 21 - Street Lighting,Street Lighting,ANDHRA PRADESH,Guntur,,Demo City 5,Ward 1,Block 9,Demo Village 6,2025-04-19,1200000,PENDING,COMPLETED,LOK SABHA,508.0,1,0,4,4,5,1.0,13.997832948091215,37,4,1,1
MPLADS-000022,Demo MP 22,Demo MPLADS work 22 - Community Hall,Community Hall,TELANGANA,Warangal,,Demo City 6,Ward 2,Block 10,Demo Village 7,,1800000,YES,PENDING,RAJYA SABHA,0.0,0,0,4,4,5,1.5,14.403297778421795,36,4,0,0
MPLADS-000023,Demo MP 23,Demo MPLADS work 23 - Drainage,Drainage,KARNATAKA,Bengaluru Rural,,Demo City 7,Ward 3,Block 11,Demo Village 8,,2500000,YES,UNDER IMPLEMENTATION,LOK SABHA,0.0,0,0,4,4,5,2.0833333333333335,14.731801689838349,30,4,0,0
MPLADS-000024,Demo MP 24,Demo MPLADS work 24 - Public Sanitation,Public Sanitation,TAMIL NADU,Madurai,,Demo City 8,Ward 4,Block 12,Demo Village 9,2025-06-27,3200000,YES,ONGOING,LOK SABHA,439.0,0,0,4,4,5,2.6666666666666665,14.978661680269907,39,4,0,0
MPLADS-000025,Demo MP 25,Demo MPLADS work 25 - Road Development,Road Development,RAJASTHAN,Jaipur Rural,,Demo City 1,Ward 5,Block 1,Demo Village 10,2025-07-20,450000,PENDING,APPROVED,RAJYA SABHA,416.0,1,0,4,4,5,0.375,13.017005083966255,38,4,1,1
MPLADS-000026,Demo MP 26,Demo MPLADS work 26 - Drinking Water,Drinking Water,UTTAR PRADESH,Lucknow,,Demo City 2,Ward 6,Block 2,Demo Village 11,,750000,YES,COMPLETED,LOK SABHA,0.0,0,0,4,4,5,0.625,13.527829818844937,36,4,0,0
MPLADS-000027,Demo MP 27,Demo MPLADS work 27 - School Infrastructure,School Infrastructure,BIHAR,Patna,,Demo City 3,Ward 7,Block 3,Demo Village 12,,1200000,YES,PENDING,LOK SABHA,0.0,0,0,4,4,5,1.0,13.997832948091215,43,4,0,0
MPLADS-000028,Demo MP 28,Demo MPLADS work 28 - Health Infrastructure,Health Infrastructure,MAHARASHTRA,Pune,,Demo City 4,Ward 8,Block 4,Demo Village 13,2025-09-27,1800000,YES,UNDER IMPLEMENTATION,RAJYA SABHA,347.0,0,0,4,4,5,1.5,14.403297778421795,43,4,0,0
MPLADS-000029,Demo MP 29,Demo MPLADS work 29 - Street Lighting,Street Lighting,WEST BENGAL,Kolkata,,Demo City 5,Ward 9,Block 5,Demo Village 14,2025-10-20,2500000,PENDING,ONGOING,LOK SABHA,324.0,1,0,4,4,5,2.0833333333333335,14.731801689838349,37,4,1,1
MPLADS-000030,Demo MP 30,Demo MPLADS work 30 - Community Hall,Community Hall,ODISHA,Bhubaneswar,,Demo City 6,Ward 10,Block 6,Demo Village 15,,3200000,YES,APPROVED,LOK SABHA,0.0,0,0,4,4,5,2.6666666666666665,14.978661680269907,36,4,0,0
MPLADS-000031,Demo MP 31,Demo MPLADS work 31 - Drainage,Drainage,ANDHRA PRADESH,Guntur,,Demo City 7,Ward 11,Block 7,Demo Village 1,,450000,YES,COMPLETED,RAJYA SABHA,0.0,0,0,4,4,5,0.375,13.017005083966255,30,4,0,0
MPLADS-000032,Demo MP 32,Demo MPLADS work 32 - Public Sanitation,Public Sanitation,TELANGANA,Warangal,,Demo City 8,Ward 12,Block 8,Demo Village 2,2025-12-28,750000,YES,PENDING,LOK SABHA,255.0,0,0,4,4,5,0.625,13.527829818844937,39,4,0,0
